Term,Total,slope,pvalue,weeks_present,first_seen,last_seen
follow,15,2.6,0.21889398131323168,2,2025-08-25,2025-09-22
role,13,2.6,0.18169011381620928,1,2025-09-22,2025-09-22
room design,13,2.6,0.18169011381620928,1,2025-09-22,2025-09-22
parisian inspired,13,2.6,0.18169011381620928,1,2025-09-22,2025-09-22
journey,13,2.6,0.18169011381620928,1,2025-09-22,2025-09-22
vs,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
design shorts,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
design nerd graphic,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
stunning,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
nerd graphic designers,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
nerd graphic,14,2.5999999999999996,0.11318722794789343,2,2025-09-15,2025-09-22
course,17,2.5,0.22483673068342402,3,2025-08-25,2025-09-22
specific,13,2.5,0.14454617683426746,2,2025-09-15,2025-09-22
explore,17,2.5,0.16119572305508445,4,2025-08-25,2025-09-22
discover latest,13,2.5,0.14454617683426746,2,2025-09-15,2025-09-22
friendly,14,2.5,0.19612249564445952,2,2025-09-01,2025-09-22
old,13,2.5,0.14454617683426746,2,2025-09-15,2025-09-22
website design,16,2.5,0.04272396215014272,2,2025-09-15,2025-09-22
balance,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
ux collective,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
important,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
hello,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
decorating,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
home interior,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
identity,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
short,17,2.4000000000000004,0.2504772040803964,3,2025-08-25,2025-09-22
solutions,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
simple,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
changing,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
iteration,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
shape,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
saving,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
room decor,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
breathable,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
black,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
things,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
women fashion,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
nike men,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
collective,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
fresh,22,2.4000000000000004,0.10814563479547644,4,2025-08-25,2025-09-22
renovation,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
nike men shoes,12,2.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
power,13,2.4000000000000004,0.10814563479547644,2,2025-09-15,2025-09-22
mind,13,2.4000000000000004,0.10814563479547644,2,2025-09-15,2025-09-22
project,15,2.3000000000000003,0.04778191019107635,3,2025-09-08,2025-09-22
graphic design trends,28,2.3000000000000003,0.06807738670347135,5,2025-08-25,2025-09-22
approach,14,2.3000000000000003,0.18468454064169032,3,2025-08-25,2025-09-22
language,17,2.3,0.16120187029611843,2,2025-09-15,2025-09-22
christmas casa,11,2.2,0.1816901138162091,1,2025-09-22,2025-09-22
estilocontemporaneo,11,2.2,0.1816901138162091,1,2025-09-22,2025-09-22
casa estilo,11,2.2,0.1816901138162091,1,2025-09-22,2025-09-22
casa,11,2.2,0.1816901138162091,1,2025-09-22,2025-09-22
