Term,Total,slope,pvalue,weeks_present,first_seen,last_seen
archdaily com tag,33,6.6000000000000005,0.18169011381620928,1,2025-09-22,2025-09-22
com tag,33,6.6000000000000005,0.18169011381620928,1,2025-09-22,2025-09-22
timeless,33,6.6000000000000005,0.18169011381620928,1,2025-09-22,2025-09-22
tools,39,6.5,0.19053047800656503,3,2025-09-01,2025-09-22
development,36,6.4,0.0790956993820547,2,2025-09-15,2025-09-22
png,32,6.4,0.18169011381620928,1,2025-09-22,2025-09-22
creative,40,6.300000000000001,0.1108621390814921,4,2025-08-25,2025-09-22
nl,31,6.2,0.18169011381620928,1,2025-09-22,2025-09-22
graphic designers,33,6.199999999999999,0.12331247173625565,2,2025-09-15,2025-09-22
does,32,6.100000000000001,0.13642415287771809,2,2025-09-15,2025-09-22
figure img,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
figure img alt,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
div,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
class rws nl,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
rws,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
clothing,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
parisian,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
class rws,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
trend,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
rws nl,30,6.0,0.1816901138162091,1,2025-09-22,2025-09-22
welcome,34,5.9,0.17175393337482886,4,2025-08-25,2025-09-22
don,29,5.800000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
inspiration,34,5.800000000000001,0.18357694821086357,3,2025-08-25,2025-09-22
way,33,5.8,0.13637116674331748,3,2025-08-25,2025-09-22
building,30,5.7,0.18761063786137258,2,2025-09-01,2025-09-22
easy,29,5.7,0.1651076812881143,2,2025-09-15,2025-09-22
trust,30,5.6000000000000005,0.117613760873458,2,2025-09-15,2025-09-22
wall,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
trendy,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
gent,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
sharp dressed gent,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
sharp,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
sharp dressed,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
cozy,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
youtubeshorts,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
dressed,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
dressed gent,28,5.6,0.18169011381620928,1,2025-09-22,2025-09-22
https medium,27,5.400000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
art,27,5.400000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
transform,27,5.400000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
https medium com,27,5.400000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
casual,26,5.2,0.18169011381620928,1,2025-09-22,2025-09-22
collection,28,5.2,0.2002010176684437,2,2025-08-25,2025-09-22
com max png,26,5.2,0.18169011381620928,1,2025-09-22,2025-09-22
minimalist,28,5.2,0.1699422327416794,3,2025-09-01,2025-09-22
max png,26,5.2,0.18169011381620928,1,2025-09-22,2025-09-22
tendencias,26,5.2,0.18169011381620928,1,2025-09-22,2025-09-22
furniture,26,5.2,0.18169011381620928,1,2025-09-22,2025-09-22
curious,26,5.1000000000000005,0.16318283424542473,2,2025-09-15,2025-09-22
ui,28,5.1,0.09711888287098881,2,2025-09-15,2025-09-22
dress,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
craft,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
interior design ideas,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
como,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
jeans,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
decoration ideas,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
design trends home,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
trends home,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
figma,25,5.0,0.18169011381620928,1,2025-09-22,2025-09-22
bedroom,24,4.800000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
different,24,4.800000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
designing,36,4.800000000000001,0.11978233702316397,4,2025-08-25,2025-09-22
real,32,4.800000000000001,0.13776001535460508,4,2025-08-25,2025-09-22
navidad,24,4.800000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
perfect,24,4.800000000000001,0.1816901138162091,1,2025-09-22,2025-09-22
world,29,4.7,0.19646656104251448,4,2025-08-25,2025-09-22
need,30,4.7,0.2247580693035004,3,2025-08-25,2025-09-22
designer,24,4.7,0.1616311939365746,2,2025-09-15,2025-09-22
christmas trends,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
trends fashion,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
genius,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
brand,24,4.6000000000000005,0.141446943602558,2,2025-09-15,2025-09-22
fashion trends fashion,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
beautiful,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
