Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
updates,9,-0.5714285714285714,0.11163737054948132,3,2026-05-25,2026-06-15,-0.18070158058105024,0.18070158058105024,0.18070158058105024
asap,12,-0.6428571428571428,0.04209487492637836,4,2026-05-25,2026-06-15,-0.17829649164382363,0.17829649164382363,0.17829649164382363
summer makeup,12,-0.6428571428571428,0.1801344399343149,3,2026-05-25,2026-06-15,-0.17829649164382363,0.17829649164382363,0.17829649164382363
designers want,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
designers want ditch,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
ditch,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
ditch asap,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
staffers,8,-0.4285714285714286,0.36321746764912277,2,2026-05-25,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
trends designers want,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
want ditch,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
want ditch asap,8,-0.4285714285714286,0.2821798590300508,2,2026-06-01,2026-06-08,-0.14285714285714288,0.14285714285714288,0.14285714285714288
wow,8,-0.4285714285714286,0.36321746764912277,2,2026-06-01,2026-06-15,-0.14285714285714288,0.14285714285714288,0.14285714285714288
wow house,8,-0.4285714285714286,0.36321746764912277,2,2026-06-01,2026-06-15,-0.14285714285714288,0.14285714285714288,0.14285714285714288
spruce,26,-0.6428571428571428,0.43353128337889696,6,2026-05-25,2026-07-06,-0.12371791482634836,0.12371791482634836,0.12371791482634836
spring summer,8,-0.3571428571428571,0.2639799333653897,3,2026-05-25,2026-06-29,-0.11904761904761903,0.11904761904761903,0.11904761904761903
makeup trends,17,-0.42857142857142855,0.24144022591566974,5,2026-05-25,2026-07-06,-0.10101525445522108,0.10101525445522108,0.10101525445522108
approved,10,-0.21428571428571427,0.6918655546568113,2,2026-06-08,2026-06-15,-0.0646095738380922,0.0646095738380922,0.0646095738380922
spruce designers,4,-0.14285714285714288,0.6606421552406503,1,2026-06-08,2026-06-08,-0.06388765649999399,0.06388765649999399,0.06388765649999399
summer trends,26,-0.28571428571428564,0.7089337932268802,5,2026-05-25,2026-06-22,-0.054985739922821485,0.054985739922821485,0.054985739922821485
real simple,32,-0.2857142857142857,0.7575093876521791,5,2026-05-25,2026-07-06,-0.04973647313019938,0.04973647313019938,0.04973647313019938
architectural digest,8,-0.14285714285714285,0.5300916186704534,4,2026-06-01,2026-06-22,-0.047619047619047616,0.047619047619047616,0.047619047619047616
tacky,12,-0.14285714285714285,0.7575093876521791,3,2026-06-01,2026-06-29,-0.03962144258751637,0.03962144258751637,0.03962144258751637
nostalgic,7,-0.10714285714285714,0.8252161106549567,2,2026-06-08,2026-07-06,-0.0378807204207079,0.0378807204207079,0.0378807204207079
decor trend,8,-0.07142857142857145,0.8847565627274856,2,2026-06-08,2026-06-15,-0.02380952380952382,0.02380952380952382,0.02380952380952382
css,5,-0.03571428571428569,0.8627546870829752,3,2026-05-25,2026-07-06,-0.0145802960879951,0.0145802960879951,0.0145802960879951
house beautiful,28,-0.07142857142857142,0.9414602756892003,5,2026-05-25,2026-07-06,-0.013263952726932276,0.013263952726932276,0.013263952726932276
digest,9,-0.035714285714285705,0.8627546870829751,5,2026-06-01,2026-07-06,-0.011293848786315636,0.011293848786315636,0.011293848786315636
trends designers say,8,-3.172065784643304e-17,1.0,2,2026-06-08,2026-07-06,-1.057355261547768e-17,1.057355261547768e-17,1.057355261547768e-17
summer biggest,12,-3.172065784643304e-17,0.9999999999999999,4,2026-05-25,2026-07-06,-8.797727565904882e-18,8.797727565904882e-18,8.797727565904882e-18
new york post,8,-1.586032892321652e-17,1.0,1,2026-06-15,2026-06-15,-5.28677630773884e-18,5.28677630773884e-18,5.28677630773884e-18
york post,8,-1.586032892321652e-17,1.0,1,2026-06-15,2026-06-15,-5.28677630773884e-18,5.28677630773884e-18,5.28677630773884e-18
