Term,estimate,p_value,Total,Weeks
baggy jeans,0.0,1.0,0,2
ballet flats,0.0,1.0,0,2
balletcore,0.0,1.0,0,2
blokette,0.0,1.0,0,2
cargo pants,0.0,1.0,0,2
chelsea boots,0.0,1.0,0,2
coquette,0.0,1.0,0,2
gorpcore,0.0,1.0,0,2
linen pants,0.0,1.0,0,2
linen shirt,0.0,1.0,0,2
old money,0.0,1.0,0,2
oxford shirt,0.0,1.0,0,2
quiet luxury,0.0,1.0,0,2
raw denim,0.0,1.0,0,2
wide leg trousers,0.0,1.0,0,2
workwear,0.0,1.0,0,2
