Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
hard,14,1.357142857142857,0.1520881534749238,2,2026-07-13,2026-08-10,0.3504127789425758,-0.3504127789425758,0.3504127789425758
world,32,2.0,0.17286848589102868,3,2026-07-06,2026-08-10,0.3481553119113957,-0.3481553119113957,0.3481553119113957
grid,13,1.2857142857142856,0.05797277355753995,2,2026-08-03,2026-08-10,0.3436215967445456,-0.3436215967445456,0.3436215967445456
reason,13,1.2857142857142856,0.05797277355753995,2,2026-08-03,2026-08-10,0.3436215967445456,-0.3436215967445456,0.3436215967445456
photoshop,11,1.1785714285714286,0.14381080871160395,1,2026-08-10,2026-08-10,0.34022426577245807,-0.34022426577245807,0.34022426577245807
works,11,1.1785714285714286,0.14381080871160395,1,2026-08-10,2026-08-10,0.34022426577245807,-0.34022426577245807,0.34022426577245807
product,12,1.1785714285714286,0.08551469766675851,3,2026-07-27,2026-08-10,0.32687690134701003,-0.32687690134701003,0.32687690134701003
web,32,1.857142857142857,0.23808942144144488,5,2026-06-29,2026-08-10,0.32328707534629597,-0.32328707534629597,0.32328707534629597
face,14,1.25,0.0343165992063964,2,2026-08-03,2026-08-10,0.3227486121839514,-0.3227486121839514,0.3227486121839514
websites,14,1.25,0.10089734568700702,3,2026-07-06,2026-08-10,0.3227486121839514,-0.3227486121839514,0.3227486121839514
collective,11,1.107142857142857,0.07271644582219848,2,2026-08-03,2026-08-10,0.31960461330139994,-0.31960461330139994,0.31960461330139994
question,11,1.107142857142857,0.07271644582219848,2,2026-08-03,2026-08-10,0.31960461330139994,-0.31960461330139994,0.31960461330139994
systems,18,1.3928571428571428,0.21294437647760256,2,2026-08-03,2026-08-10,0.31954334360542525,-0.31954334360542525,0.31954334360542525
website design,18,1.3928571428571428,0.03574141407170285,3,2026-07-20,2026-08-10,0.31954334360542525,-0.31954334360542525,0.31954334360542525
creative,12,1.1428571428571428,0.03674259800515245,2,2026-08-03,2026-08-10,0.31697154070013095,-0.31697154070013095,0.31697154070013095
know,13,1.1785714285714286,0.07850950258051602,4,2026-07-20,2026-08-10,0.31498646368250016,-0.31498646368250016,0.31498646368250016
authority,10,1.0357142857142856,0.10240371820756712,2,2026-08-03,2026-08-10,0.31227960688411227,-0.31227960688411227,0.31227960688411227
spent,10,1.0357142857142856,0.10240371820756712,2,2026-08-03,2026-08-10,0.31227960688411227,-0.31227960688411227,0.31227960688411227
tool,10,1.0357142857142856,0.10240371820756712,2,2026-08-03,2026-08-10,0.31227960688411227,-0.31227960688411227,0.31227960688411227
grid design,11,1.0714285714285714,0.047602767784610193,2,2026-08-03,2026-08-10,0.30929478706587094,-0.30929478706587094,0.30929478706587094
shorts,12,1.107142857142857,0.030207262126528425,2,2026-08-03,2026-08-10,0.3070661800532518,-0.3070661800532518,0.3070661800532518
years,13,1.1428571428571426,0.09786111394055665,3,2026-07-06,2026-08-10,0.30544141932848495,-0.30544141932848495,0.30544141932848495
feel,9,0.9642857142857142,0.14381080871160395,1,2026-08-10,2026-08-10,0.30493391723052227,-0.30493391723052227,0.30493391723052227
look,17,1.2857142857142856,0.08735930812736178,4,2026-06-29,2026-08-10,0.30304576336566325,-0.30304576336566325,0.30304576336566325
idea,10,1.0,0.06693300214386128,2,2026-08-03,2026-08-10,0.30151134457776363,-0.30151134457776363,0.30151134457776363
src width,10,1.0,0.06693300214386128,2,2026-08-03,2026-08-10,0.30151134457776363,-0.30151134457776363,0.30151134457776363
width,10,1.0,0.06693300214386128,2,2026-08-03,2026-08-10,0.30151134457776363,-0.30151134457776363,0.30151134457776363
answers,11,1.0357142857142856,0.03322117027780465,2,2026-08-03,2026-08-10,0.2989849608303419,-0.2989849608303419,0.2989849608303419
code,11,1.0357142857142856,0.09544387907211514,3,2026-07-20,2026-08-10,0.2989849608303419,-0.2989849608303419,0.2989849608303419
small,12,1.0714285714285714,0.09251500555042763,2,2026-07-27,2026-08-10,0.29716081940637273,-0.29716081940637273,0.29716081940637273
point,9,0.9285714285714285,0.09807880188707767,2,2026-08-03,2026-08-10,0.2936400684442066,-0.2936400684442066,0.2936400684442066
relationship,9,0.9285714285714285,0.09807880188707767,2,2026-08-03,2026-08-10,0.2936400684442066,-0.2936400684442066,0.2936400684442066
did,10,0.9642857142857142,0.04209487492637836,2,2026-08-03,2026-08-10,0.2907430822714149,-0.2907430822714149,0.2907430822714149
open,10,0.9642857142857142,0.04209487492637836,2,2026-08-03,2026-08-10,0.2907430822714149,-0.2907430822714149,0.2907430822714149
language,14,1.107142857142857,0.17218075766402213,2,2026-08-03,2026-08-10,0.2858630565057855,-0.2858630565057855,0.2858630565057855
check,8,0.8571428571428571,0.14381080871160395,1,2026-08-10,2026-08-10,0.2857142857142857,-0.2857142857142857,0.2857142857142857
seconds,8,0.8571428571428571,0.14381080871160395,1,2026-08-10,2026-08-10,0.2857142857142857,-0.2857142857142857,0.2857142857142857
study,8,0.8571428571428571,0.14381080871160395,1,2026-08-10,2026-08-10,0.2857142857142857,-0.2857142857142857,0.2857142857142857
thinking,11,0.9642857142857142,0.02731532075939104,3,2026-07-27,2026-08-10,0.27836530835928386,-0.27836530835928386,0.27836530835928386
web design,16,1.142857142857143,0.18831173926127212,3,2026-07-27,2026-08-10,0.27718357147009487,-0.27718357147009487,0.27718357147009487
new,23,1.357142857142857,0.00999622288386693,6,2026-06-29,2026-08-10,0.277025625671907,-0.277025625671907,0.277025625671907
simply,14,1.0714285714285714,0.05495317597273887,3,2026-06-29,2026-08-10,0.27664166758624403,-0.27664166758624403,0.27664166758624403
background,8,0.8214285714285714,0.0927855098228234,2,2026-08-03,2026-08-10,0.2738095238095238,-0.2738095238095238,0.2738095238095238
kind,8,0.8214285714285714,0.0927855098228234,2,2026-08-03,2026-08-10,0.2738095238095238,-0.2738095238095238,0.2738095238095238
reading,8,0.8214285714285714,0.0927855098228234,2,2026-08-03,2026-08-10,0.2738095238095238,-0.2738095238095238,0.2738095238095238
hand,9,0.8571428571428571,0.036742598005152484,2,2026-08-03,2026-08-10,0.27105237087157535,-0.27105237087157535,0.27105237087157535
agent,10,0.8928571428571428,0.03431659920639636,2,2026-08-03,2026-08-10,0.2692065576587175,-0.2692065576587175,0.2692065576587175
experience,10,0.8928571428571428,0.17766299471452202,2,2026-07-06,2026-08-10,0.2692065576587175,-0.2692065576587175,0.2692065576587175
single,10,0.8928571428571428,0.17766299471452202,2,2026-07-06,2026-08-10,0.2692065576587175,-0.2692065576587175,0.2692065576587175
taking,11,0.9285714285714285,0.0730756768399805,2,2026-08-03,2026-08-10,0.2680554821237548,-0.2680554821237548,0.2680554821237548
better,7,0.75,0.14381080871160382,1,2026-08-10,2026-08-10,0.2651650429449553,-0.2651650429449553,0.2651650429449553
coming,7,0.75,0.14381080871160382,1,2026-08-10,2026-08-10,0.2651650429449553,-0.2651650429449553,0.2651650429449553
content,7,0.75,0.14381080871160382,1,2026-08-10,2026-08-10,0.2651650429449553,-0.2651650429449553,0.2651650429449553
create,7,0.75,0.14381080871160382,1,2026-08-10,2026-08-10,0.2651650429449553,-0.2651650429449553,0.2651650429449553
judgment,7,0.75,0.14381080871160382,1,2026-08-10,2026-08-10,0.2651650429449553,-0.2651650429449553,0.2651650429449553
build,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
built,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
chatbot,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
dark,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
div,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
exactly,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
problem,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
stop,8,0.7857142857142857,0.05294332245986581,2,2026-08-03,2026-08-10,0.2619047619047619,-0.2619047619047619,0.2619047619047619
different,10,0.8571428571428571,0.020237878873165395,3,2026-07-27,2026-08-10,0.2584382953523688,-0.2584382953523688,0.2584382953523688
learning,10,0.8571428571428571,0.06822321620294472,3,2026-07-13,2026-08-10,0.2584382953523688,-0.2584382953523688,0.2584382953523688
looks,10,0.8571428571428571,0.1996887865093775,2,2026-06-29,2026-08-10,0.2584382953523688,-0.2584382953523688,0.2584382953523688
boring,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
fiction,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
media,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
published,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
science,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
science fiction,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
used,7,0.7142857142857142,0.08618482745881663,2,2026-08-03,2026-08-10,0.25253813613805265,-0.25253813613805265,0.25253813613805265
machines,8,0.75,0.03223468576910019,2,2026-08-03,2026-08-10,0.25,-0.25,0.25
using,8,0.75,0.03223468576910019,2,2026-08-03,2026-08-10,0.25,-0.25,0.25
simple,9,0.7857142857142857,0.18267987517902767,2,2026-07-06,2026-08-10,0.24846467329894406,-0.24846467329894406,0.24846467329894406
use,9,0.7857142857142857,0.10516025278482609,3,2026-07-13,2026-08-10,0.24846467329894406,-0.24846467329894406,0.24846467329894406
design trend,10,0.8214285714285714,0.10855410191477219,2,2026-08-03,2026-08-10,0.24767003304602012,-0.24767003304602012,0.24767003304602012
test,10,0.8214285714285714,0.10855410191477219,2,2026-08-03,2026-08-10,0.24767003304602012,-0.24767003304602012,0.24767003304602012
illustrator,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
instead,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
really,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
stopped,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
